,trading_date,delivery_start,delivery_end,tenor,settlement_price
0,2019-03-27,2019-03-27,2019-03-27,Day,41.53
1,2019-03-27,2019-03-28,2019-03-28,Day,42.05
2,2019-03-27,2019-03-29,2019-03-29,Day,38.63
3,2019-03-27,2019-03-30,2019-03-30,Day,32.29
4,2019-03-27,2019-03-31,2019-03-31,Day,25.75
5,2019-03-27,2019-04-01,2019-04-01,Day,39.14
6,2019-03-27,2019-04-02,2019-04-02,Day,41.62
7,2019-03-27,2019-03-01,2019-03-29,Month,40.41
8,2019-03-27,2019-04-01,2019-04-30,Month,41.72
9,2019-03-27,2019-05-01,2019-05-31,Month,42.8
10,2019-03-27,2019-06-03,2019-06-28,Month,45.87
11,2019-03-27,2019-04-01,2019-06-28,Quarter,43.38
12,2019-03-27,2019-07-01,2019-09-30,Quarter,50.1
13,2019-03-27,2019-10-01,2019-12-31,Quarter,73.39
14,2019-03-27,2020-01-01,2020-03-31,Quarter,75.1
15,2019-03-27,2019-03-25,2019-03-29,Week,39.15
16,2019-03-27,2019-04-01,2019-04-05,Week,42.5
17,2019-03-27,2019-04-08,2019-04-12,Week,42.38
18,2019-03-27,2019-04-15,2019-04-19,Week,41.13
19,2019-03-27,2019-04-22,2019-04-26,Week,40.75
20,2019-03-27,2019-03-30,2019-03-31,Weekend,29.02
21,2019-03-27,2020-01-01,2020-12-31,Year,63.91
22,2019-03-27,2021-01-01,2021-12-31,Year,62.4
23,2019-03-27,2022-01-03,2022-12-30,Year,61.5
