,trading_date,delivery_start,delivery_end,tenor,settlement_price
0,2016-09-14,2016-09-14,2016-09-14,Day,46.24
1,2016-09-14,2016-09-15,2016-09-15,Day,46.93
2,2016-09-14,2016-09-16,2016-09-16,Day,41.62
3,2016-09-14,2016-09-17,2016-09-17,Day,0.01
4,2016-09-14,2016-09-01,2016-09-30,Month,44.34
5,2016-09-14,2016-10-03,2016-10-31,Month,45.5
6,2016-09-14,2016-11-01,2016-11-30,Month,49.44
7,2016-09-14,2016-12-01,2016-12-30,Month,48.1
8,2016-09-14,2016-10-03,2016-12-30,Quarter,47.71
9,2016-09-14,2017-01-02,2017-03-31,Quarter,51.06
10,2016-09-14,2017-04-03,2017-06-30,Quarter,32.58
11,2016-09-14,2017-07-03,2017-09-29,Quarter,33.63
12,2016-09-14,2017-10-02,2017-12-29,Quarter,47.69
13,2016-09-14,2016-09-12,2016-09-16,Week,45.75
14,2016-09-14,2016-09-19,2016-09-23,Week,44.38
15,2016-09-14,2016-09-26,2016-09-30,Week,44.35
16,2016-09-14,2016-10-03,2016-10-07,Week,42.63
17,2016-09-14,2016-10-10,2016-10-14,Week,44.25
18,2016-09-14,2016-09-17,2016-09-18,Weekend,0.01
19,2016-09-14,2016-09-24,2016-09-25,Weekend,0.01
20,2016-09-14,2017-01-02,2017-12-30,Year,41.24
21,2016-09-14,2018-01-01,2019-01-01,Year,41.93
22,2016-09-14,2019-01-01,2019-12-31,Year,42.24
